"Qty","Value","Device","Package","Parts","Description","CASE","DIGIKEY","MANUFACTURER_PART_NUMBER","MF","MONTHLY_USAGE","MPN","OC_FARNELL","OC_NEWARK","PART_NUMBER","POPULARITY","PRICE","SPICEPREFIX","SUPPLIER","TYPE","VALUE","VENDOR",
"1","0.01uF","C-EUC0603","C0603","C1","CAPACITOR, European symbol","","311-1572-1-ND","","","","","","","","","","","","","","",
"1","0.1uF","C-EUC0603","C0603","C7","CAPACITOR, European symbol","","399-1099-1-ND","","","","","","","","73","","C","","","","",
"4","0.1uF","C-EUC0603","C0603","C8, C12, C13, C14","CAPACITOR, European symbol","","399-1099-1-ND","","","","","","","","","","","","","","",
"1","057-006-1","057-006-1","057-006-1","J5","CONNECTOR","","3M15451-ND","","","","","unknown","unknown","","0","","","","","","",
"1","1000u 6.3V","CPOL-USE","PANASONIC_E","C6","POLARIZED CAPACITOR, American symbol","","493-2160-1-ND","","","","","","","","","","","","","","",
"2","10K","R-US_R0603","R0603","R1, R4","RESISTOR, American symbol","","RNCP0603FTD10K0CT-ND","","","","","","","","","","","","","","",
"1","10uH","L-0805","0805","L3","","","490-1053-1-ND","","","","","","","","","","","","","","",
"1","10uH","SRR1208","SRR1208","L1","","","SRR1208-100MLCT-ND","","","","","","","","","","","","","","",
"2","120R","R-US_R0603","R0603","R9, R10","RESISTOR, American symbol","","RMCF0603JT120RCT-ND","","","","","","","","77","","R","","","","",
"1","16MHz","OSC_CSTCE16M0V53-R0","RESONATOR","X3","16Mhz - SMD","","490-17948-1-ND","","","_____","","","","CSTCE16M0V53-R0","","_____","","_____","Cristalli","CSTCE16M0V53-R0","",
"1","1M","R-US_R0603","R0603","R12","RESISTOR, American symbol","","311-1.00MHRCT-ND","","","","","","","","","","","","","","",
"1","22pF","C-EUC0603","C0603","C11","CAPACITOR, European symbol","","311-3952-1-ND","","","","","","","","","","","","","","",
"1","3.16K","R-US_R0603","R0603","R2","RESISTOR, American symbol","","RMCF0603FT3K16CT-ND","","","","","","","","","","","","","","",
"1","330R","R-US_R0603","R0603","R7","RESISTOR, American symbol","","RMCF0603JT330RCT-ND","","","","","","","","77","","R","","","","",
"2","4-PIN_2MM-H","4-PIN_2MM-H","2MM-4-H","J2, J4","MPN: 0353630460","","WM18933-ND","","","","0353630460","","","","","","","","","","",
"2","4.7uF","C-EUC1206","C1206","C2, C3","CAPACITOR, European symbol","","1276-3178-1-ND","","","","","","","","","","","","","","",
"3","470R","R-US_R0603","R0603","R3, R6, R8","RESISTOR, American symbol","","RMCF0603JT470RCT-ND","","","","","","","","","","","","","","",
"2","47uF","CPOL-USD","PANASONIC_D","C4, C5","POLARIZED CAPACITOR, American symbol","","PCE3753CT-ND","","","","","","","","","","","","","","",
"1","B2PS-VH(LF)(SN)","B2PS-VH(LF)(SN)","B2PS-CENTERED","J1","Power Connector","","455-1648-ND","","","","B2PS-VH(LF)(SN)","","","","","","","","","","",
"1","B550C","DIODE-SMC","SMC","D1","DIODE","","B550C-FDICT-ND","","","","","","","","1","","","","","","",
"1","GREEN","LEDCHIP-LED0805","CHIP-LED0805","ON","LED","","732-4982-1-ND","","","","","","","","68","","","","","","",
"1","MCP2551T-I/SN","MCP2551T-I/SN","SOIC8-N_MC","IC3","","","MCP2551T-I/SNCT-ND","MCP2551TISN","","","","","","","","","","","","","Microchip",
"1","MEGA8-AI","MEGA8-AI","TQFP32-08","IC4","MICROCONTROLLER","","ATMEGA328P-AURCT-ND","","","","ATMEGA8-16AU","9171371","73M8863","","11","","","","","","",
"1","ROBOBUZZ1.0X","ROBOBUZZ1.0X","ROBOBUZZ_1.0X","U$1","","","","","","","","","","","","","","","","","",
"1","RT8289","RT8289","SOIC8_EP","IC1","","","1028-1046-1-ND","","","","","","","","","","","","","","",
"1","S3B-VH","S3B-VH","S3B-VH","J3","","","455-1649-ND","","","","","","","","","","","","","","",
"1","SPST_TACT-EVQQ2","SPST_TACT-EVQQ2","EVQ-Q2","SW1","SMT 6mm switch, EVQQ2 series","","P12961SCT-ND","","","","","","","","","","","","","","",
"2","YELLOW","LEDCHIP-LED0805","CHIP-LED0805","DEBUG1, DEBUG2","LED","","732-4987-1-ND","","","","","","","","68","","","","","","",
